star_name,planet_amount,star_temp,star_radius,star_mass,star_metallicity,star_surfaceGravity
TOI-178,6,4316,0.651,0.65,-0.23,4.45
TOI-1789,1,5991,2.168,1.507,0.373,3.943
TOI-181,1,4994,0.745,0.822,0.272,4.608
TOI-1853,1,4985,0.808,0.837,0.11,4.49
TOI-1860,1,5752,0.94,0.99,0.04,4.58
TOI-1899,1,3841,0.607,0.627,0.31,4.669
TOI-198,1,3650,0.441,0.467,-0.7,4.75
TOI-199,2,5255,0.82,0.936,0.22,4.582
TOI-201,2,6394,1.317,1.316,0.24,4.318
TOI-2010,1,5929,1.079,1.112,0.168,4.417
TOI-2015,2,3194,0.333,0.342,0.05,4.95
TOI-2018,1,4174,0.62,0.57,-0.58,4.62
TOI-2046,1,6250,1.21,1.13,-0.06,4.3
TOI-2076,4,5187,0.7622,0.85,-0.032,4.605
TOI-2081,1,3800,0.534,0.54,-0.5,4.5
TOI-2093,2,4426,0.729,0.745,-0.08,4.87
TOI-2095,2,3759,0.44,0.44,-0.24,5.11
TOI-2096,2,3300,0.235,0.231,-0.03,5.05
TOI-2109,1,6540,1.698,1.453,0.068,4.139
TOI-2134,2,4580,0.709,0.744,0.12,4.8
TOI-2136,1,3342,0.34,0.34,0.03,4.91
TOI-2180,1,5695,1.636,1.111,0.253,4.057
TOI-2196,1,5634,1.043,1.032,0.14,4.42
TOI-220,1,5298,0.858,0.825,-0.217,4.37
TOI-2202,2,5144,0.794,0.823,0.04,4.55
TOI-2257,1,3430,0.313,0.328,-0.27,4.971
TOI-2260,1,5534,0.94,0.99,0.22,4.62
TOI-2322,2,4664,0.662,0.703,-0.12,4.57
TOI-2345,2,4687,0.729,0.727,-0.1,4.57
TOI-238,2,5059,0.733,0.79,-0.114,4.577
TOI-2406,1,3100,0.204,0.162,-0.38,5.037
TOI-244,1,3433,0.426,0.428,-0.39,4.66
TOI-2443,1,4375,0.631,0.642,-0.29,4.42
TOI-2449,1,6021,1.065,1.079,-0.03,4.4
TOI-2458,2,6005,1.31,1.05,-0.1,4.2
TOI-2525,2,5096,0.785,0.849,0.14,4.58
TOI-2580,1,6120,1.81,1.33,0.26,4.15
TOI-260,1,4026,0.607,0.616,-0.47,4.45
TOI-262,1,5310,0.853,0.913,0.26,4.54
TOI-2641,1,6100,1.336,1.16,-0.15,4.2
TOI-269,1,3514,0.398,0.3917,-0.29,4.831
TOI-270,3,3506,0.378,0.386,-0.2,4.872
TOI-283,1,5213,0.85,0.8,-0.09,4.5
